# run evtid TE_ORIG[TeV] evttype
118178 17334444 116.96750663991034 HED
118309 46569873 102.9357574714228 HED
118342 24578488 30.62076521846901 LED
118435 58198553 610.8380596352064 HED
118475 52691508 146.17798264221585 HED
118539 54350726 64.06757812350257 HED
118576 45696357 39.98893474139788 LED
118631 36844560 90.73673563562046 HED
118660 61529737 39.38279104242674 LED
118738 995844 117.45117305010733 HED
118741 43101116 123.14282238148428 HED
118778 61465314 40.55599108148773 LED
118973 22324184 43.10483734476195 LED
118973 25391094 43.10483734476195 LED
119097 49522606 26.355859273871605 LED
119101 32538906 70.65895051023466 HED
119125 14422170 127.71159939381974 HED
119136 66932419 211.08897219487315 HED
119146 28561103 80.9013204379147 HED
119739 41603205 236.00886414828884 HED
120027 12133428 5.120773347916197 LED
120045 22615214 207.02622757190483 HED
120157 59255331 96.28954280184907 HED
120185 63879322 54.61373767792186 HED
120186 1306178 34.26390195634161 LED
120205 73761892 19.48478523246139 LED
120244 21476686 46.231176490616896 LED
120260 65493286 23.616251977523174 LED
120309 20451977 2050.132054230311 HED
120535 24248640 153.9482515742637 HED
120680 12284754 51.011656031872526 HED
120708 53550535 44.621069164736305 LED
120798 20915945 225.30509248410695 HED
120860 64513030 174.20063157254432 HED
120884 64276946 29.61288681653678 LED
120935 29325450 28.954073608412898 LED
121761 41853263 162.8461809953051 HED
121762 56963417 29.936429658678023 LED
121769 40349510 82.44199424539003 HED
121840 62872761 1427.5994994063258 HED
122055 5809789 28.292924527236917 LED
122060 56194427 23.817366903116692 LED
122152 30701331 103.23148081756563 HED
122154 6905361 41.28936571225282 LED
122160 52726834 100.12045695508874 HED
122316 49995489 29.812487779681398 LED
122318 21601607 24.663247445079378 LED
122361 46565711 109.68487431743218 HED
122469 31925079 27.527190219383147 LED
122604 17469985 591.1668107382876 HED
122605 60656774 28.42976528705483 LED
122663 58987459 41.55916714490476 LED
122768 38570780 45.41536538436122 LED
122772 38615684 26.764458632465438 LED
122793 12516001 30.421298471454463 LED
122818 16944987 63.34535003605432 HED
122895 69011827 28.420015564943654 LED
122973 6578595 29419.315495645616 HED
123107 8144529 107.44408714287187 HED
123145 34573112 199.80309081366514 HED
123228 40504010 59.890955150492125 HED
123240 49730417 3051.782150767559 HED
123281 52248792 71.55695823057142 HED
123334 75182550 91.91060307604076 HED
123620 47444787 105.2395608086077 HED
123662 27529428 117.66383249779922 HED
