Run,EventID,RA [deg],Dec [deg],RA_50_min [deg],RA_50_max [deg],Dec_50_min [deg],Dec_50_max [deg],RA_90_min [deg],RA_90_max [deg],Dec_90_min [deg],Dec_90_max [deg],Contour Area (50%) [sqdeg],Contour Area (90%) [sqdeg]
118178,17334444,138.87,-1.87,2.11,1.03,0.56,0.34,2.11,1.03,0.56,0.34,2.157169391395688,7.503861624317822
118309,46569873,272.99,35.55,1.18,1.36,0.99,0.96,1.18,1.36,0.99,0.96,3.1336614640744274,10.404413150403999
118342,24578488,71.15,5.38,0.27,0.27,0.24,0.29,0.27,0.27,0.24,0.29,0.22388746537647697,0.7556639790228155
118435,58198553,68.03,40.47,0.18,0.30,0.24,0.17,0.18,0.30,0.24,0.17,0.09910812606660799,0.33499680173643565
118475,52691508,151.61,7.03,0.70,0.59,0.60,0.68,0.70,0.59,0.60,0.68,1.2880768102868747,4.075082345059169
118539,54350726,336.58,1.49,0.54,0.44,0.24,0.31,0.54,0.44,0.24,0.31,0.40548384234695184,1.468063760737558
118576,45696357,332.40,-2.72,0.33,0.35,0.36,0.34,0.33,0.35,0.36,0.34,0.3607273974516709,1.23054613146944
118631,36844560,9.05,7.90,0.42,0.43,0.23,0.24,0.42,0.43,0.23,0.24,0.30593780477592675,1.0435149334009555
118660,61529737,196.70,9.33,0.32,0.30,0.33,0.30,0.32,0.30,0.33,0.30,0.3003006816348722,1.00366082443577
118738,995844,121.76,49.90,0.43,0.43,0.16,0.13,0.43,0.43,0.16,0.13,0.12491884963406007,0.4292404360189178
118741,43101116,266.97,-4.71,0.25,0.22,0.20,0.16,0.25,0.22,0.20,0.16,0.12611154175701386,0.47005811538592873
118778,61465314,172.37,44.94,0.33,0.40,0.25,0.24,0.33,0.40,0.25,0.24,0.19679520199254577,0.6581037979770417
118973,22324184,26.02,9.67,0.50,0.35,0.46,0.48,0.50,0.35,0.46,0.48,0.6073469280572024,2.0325592817842275
#118973,25391094,356.88,-11.95,0.16,0.18,0.12,0.16,0.16,0.18,0.12,0.16,0.06947852005483106,0.23082341838293216
119101,32538906,100.63,19.83,0.41,0.58,0.44,0.49,0.41,0.58,0.44,0.49,0.6772109881460354,2.294399903477947
119125,14422170,247.81,0.75,0.67,0.58,0.38,0.39,0.67,0.58,0.38,0.39,0.7560948854241014,2.5224599183614473
119136,66932419,37.05,18.76,0.52,0.59,0.93,1.09,0.52,0.59,0.93,1.09,1.4949020190742999,4.811740741726885
119146,28561103,26.06,10.12,1.60,1.52,0.81,1.83,1.60,1.52,0.81,1.83,6.124369493379967,19.6615434037521
119739,41603205,238.36,18.64,0.22,0.16,0.18,0.17,0.22,0.16,0.18,0.17,0.09391142302438092,0.31074888194820727
120027,12133428,183.69,0.67,0.30,0.27,0.26,0.29,0.30,0.27,0.26,0.29,0.24192632441819206,1.0017264551211058
120045,22615214,163.88,-70.91,0.88,0.82,0.59,0.48,0.88,0.82,0.59,0.48,0.4695407536978431,1.7479721828621988
120157,59255331,197.36,31.65,1.11,1.36,0.52,0.41,1.11,1.36,0.52,0.41,1.4785207387210697,4.852487432305044
120185,63879322,170.95,26.07,0.31,0.33,0.23,0.18,0.31,0.33,0.23,0.18,0.18041054720515828,0.6789422624876955
120186,1306178,343.61,15.64,0.40,0.38,0.28,0.31,0.40,0.38,0.28,0.31,0.3509413788448915,1.1923718787174713
120205,73761892,177.80,23.48,0.32,0.47,0.25,0.29,0.32,0.47,0.25,0.29,0.30628242490998275,1.0469711819880936
120244,21476686,119.44,14.82,0.27,0.32,0.27,0.31,0.27,0.32,0.27,0.31,0.2571621329005951,1.013876396870511
120260,65493286,152.27,36.61,0.35,0.34,0.30,0.32,0.35,0.34,0.30,0.32,0.2632005814010171,0.8711435541650364
#120309,20451977,40.47,-15.25,0.10,0.13,0.13,0.09,0.10,0.13,0.13,0.09,0.035327553335534924,0.11781267108712581
120535,24248640,330.47,1.53,0.28,0.23,0.19,0.25,0.28,0.23,0.19,0.25,0.17438194936875476,0.5800438841051803
