Run,EventID,RA,Dec,RA_50_min,RA_50_max,Dec_50_min,Dec_50_max,RA_90_min,RA_90_max,Dec_90_min,Dec_90_max,Contour Area (50%),Contour Area (90%)
118178,17334444,139.04,-1.83,2.06,1.13,0.48,0.38,2.06,1.13,0.48,0.38,2.1565978045924865,7.330222560168237
118309,46569873,273.16,35.41,1.16,1.39,0.90,0.98,1.16,1.39,0.90,0.98,3.0207058393597777,9.987242954462664
118342,24578488,71.15,5.38,0.27,0.27,0.24,0.29,0.27,0.27,0.24,0.29,0.22457073932407096,0.7551624708531433
118435,58198553,67.98,40.52,0.22,0.25,0.20,0.21,0.22,0.25,0.20,0.21,0.10418873040655971,0.34375555639005956
118475,52691508,151.74,6.80,0.58,0.67,0.76,0.47,0.58,0.67,0.76,0.47,1.2046342994641976,3.997577489461145
118539,54350726,336.53,1.49,0.58,0.42,0.26,0.30,0.58,0.42,0.26,0.30,0.4139200987114971,1.4392226936897898
118576,45696357,332.40,-2.76,0.33,0.33,0.34,0.38,0.33,0.33,0.34,0.38,0.3539426655779587,1.2663386745770477
118631,36844560,9.05,7.90,0.40,0.43,0.23,0.23,0.40,0.43,0.23,0.23,0.2983060688437248,0.9861364618560878
118660,61529737,196.70,9.33,0.32,0.30,0.33,0.30,0.32,0.30,0.33,0.30,0.29920560082962616,0.9996693718967484
118738,995844,121.76,49.90,0.39,0.49,0.18,0.13,0.39,0.49,0.18,0.13,0.13481989451842052,0.4558153583373152
118741,43101116,267.01,-4.67,0.22,0.26,0.16,0.20,0.22,0.26,0.16,0.20,0.1282510089134685,0.4781281793595126
118778,61465314,172.37,44.94,0.33,0.40,0.25,0.24,0.33,0.40,0.25,0.24,0.19704774564457514,0.6571869134612395
118973,22324184,26.15,9.67,0.43,0.42,0.47,0.46,0.43,0.42,0.47,0.46,0.602476800948005,1.9985121178527026
119097,49522606,165.28,40.62,2.09,0.60,0.47,0.50,2.09,0.60,0.47,0.50,1.541721703297728,4.758205347978509
119101,32538906,100.63,19.83,0.41,0.57,0.44,0.52,0.41,0.57,0.44,0.52,0.6836138008359898,2.2883219318972414
119125,14422170,248.03,0.63,0.53,0.74,0.36,0.36,0.53,0.74,0.36,0.36,0.7133118254583132,2.50052664068987
